Sharpe,CAGR,MERTON_N_TOP,COMPOSITE_MOMENTUM_WINDOW,COMPOSITE_MOMENTUM_SKIP,COMPOSITE_REVERSAL_WINDOW,COMPOSITE_TREND_WINDOW,COV_SHORT_WINDOW,VIEW_SCALE,COV_BLEND_ALPHA,COV_SHRINKAGE,MERTON_GAMMA,BL_DELTA,MERTON_MAX_SECTOR
0.8128379123767537,0.17393207577122216,12,150,31,7,239,44,0.19927987860042798,0.4055435406510182,0.3342330773295208,-0.4843205021702379,2.0531487955942125,0.4549386403982505
0.8389110588011625,0.17328971081250333,32,176,1,24,141,46,0.4744238863218869,0.4282577780250573,0.30951346828214843,-0.807065774951351,3.3548145170503343,0.3079770471516047
0.81778193266865,0.17321215368892284,32,165,11,24,221,45,0.19133871709352016,0.5986733810986763,0.253953624215362,-1.2972282138286724,1.5297898335204645,0.3677833072226152
0.8562279000566227,0.1727353765625097,13,156,13,39,125,87,0.5143627061954691,0.818814150656265,0.1263500056374958,-0.5472598261879327,2.9615038727425076,0.31946632257473195
0.8533492407155729,0.17485112463589547,21,165,24,37,244,52,0.3466280961330277,0.34289208397403814,0.2541334435528703,-1.2383029604074207,3.029927292207297,0.2934079090438506
0.7215119891937698,0.15006992989879064,28,103,23,5,210,24,0.33358179197199644,0.5809875206559457,0.09469161301236721,-1.2166812445995239,1.5063622185866232,0.3452669369539548
0.8295376681994472,0.17499139597894775,26,136,14,21,176,109,0.38509123810638163,0.4596503472067649,0.33385773896132914,-0.950564574666681,3.017620642007736,0.39152227158167974
0.8094044826674403,0.16787900922304644,32,118,49,20,166,23,0.32182083891222396,0.6741350412948635,0.3811396973537597,-1.0211413118179644,2.4712828061599943,0.3797787859948739
0.7350023541381961,0.1565916940134806,24,115,28,26,248,28,0.3300050474173863,0.6660868969810394,0.31035768756187976,-1.0271866475223286,2.105604265444769,0.2514725083293674
0.8272254073251529,0.1694374856886851,33,159,50,7,126,72,0.25087527161645623,0.8044932973058166,0.38266655178752945,-1.1492379633921785,3.295536577852515,0.3343822626525855
0.8049113363779125,0.16443409754273897,20,166,14,35,224,90,0.21834248555351032,0.38260467884536103,0.19852989862445397,-1.3333073716787625,3.2465458975761035,0.2947816893719504
0.6870101528767235,0.13900063348332958,32,66,31,26,171,66,0.4891968912705223,0.39649882531739666,0.1761237947871326,-0.7954390694841615,3.36215869922352,0.3154502555226083
0.8202551388650031,0.16929792501398921,30,151,13,10,224,99,0.24606795169905565,0.4462470627422444,0.13043750324572098,-1.0922837183156784,2.1571101749622947,0.4031604179545377
0.7556845586772825,0.1609390599965983,22,132,9,33,210,52,0.5330381032012631,0.6260896551600635,0.28779845194333115,-0.7429148266580458,1.80459558549867,0.28625611288783415
0.7528260791916167,0.1614566089917029,12,122,37,24,233,49,0.19745200718594427,0.6023526523153383,0.2808734219430433,-1.248370101235506,1.936836461727468,0.4887247647407538
0.7628564239909346,0.1568652492931406,20,155,16,6,107,125,0.12365335150551211,0.4589771289907746,0.3710634530371109,-1.4115735119712167,3.209431408440656,0.28616934934284083
