Sharpe,CAGR,MERTON_N_TOP,COMPOSITE_MOMENTUM_WINDOW,COMPOSITE_MOMENTUM_SKIP,COMPOSITE_REVERSAL_WINDOW,COMPOSITE_TREND_WINDOW,COV_SHORT_WINDOW,VIEW_SCALE,COV_BLEND_ALPHA,COV_SHRINKAGE,MERTON_GAMMA,BL_DELTA,MERTON_MAX_SECTOR
0.7938757300408781,0.14063882544120898,12,150,31,7,239,44,0.19927987860042798,0.4055435406510182,0.3342330773295208,-0.4843205021702379,2.0531487955942125,0.4549386403982505
0.8193411021586089,0.1409809301674705,32,176,1,24,141,46,0.4744238863218869,0.4282577780250573,0.30951346828214843,-0.807065774951351,3.3548145170503343,0.3079770471516047
0.8134713176530289,0.14288020768635734,32,165,11,24,221,45,0.19133871709352016,0.5986733810986763,0.253953624215362,-1.2972282138286724,1.5297898335204645,0.3677833072226152
0.7839726188990536,0.13174287432659804,13,156,13,39,125,87,0.5143627061954691,0.818814150656265,0.1263500056374958,-0.5472598261879327,2.9615038727425076,0.31946632257473195
0.8484213140991294,0.14560907919636779,21,165,24,37,244,52,0.3466280961330277,0.34289208397403814,0.2541334435528703,-1.2383029604074207,3.029927292207297,0.2934079090438506
0.7550937880391647,0.1299876847660666,28,103,23,5,210,24,0.33358179197199644,0.5809875206559457,0.09469161301236721,-1.2166812445995239,1.5063622185866232,0.3452669369539548
0.811891613116956,0.14148265171140406,26,136,14,21,176,109,0.38509123810638163,0.4596503472067649,0.33385773896132914,-0.950564574666681,3.017620642007736,0.39152227158167974
0.7506434713034668,0.12849728923542858,32,118,49,20,166,23,0.32182083891222396,0.6741350412948635,0.3811396973537597,-1.0211413118179644,2.4712828061599943,0.3797787859948739
0.7625189770927633,0.13389336426364418,24,115,28,26,248,28,0.3300050474173863,0.6660868969810394,0.31035768756187976,-1.0271866475223286,2.105604265444769,0.2514725083293674
0.8012614921463319,0.1369818536837195,33,159,50,7,126,72,0.25087527161645623,0.8044932973058166,0.38266655178752945,-1.1492379633921785,3.295536577852515,0.3343822626525855
