periodo,chosen_Sharpe,chosen_CAGR,SP500_Sharpe,percentil,pct_baten_chosen
2020-2026,0.7614617832896441,0.15885206311118072,0.6644508062644697,47.0,53.0
2013-2026,0.7658628917112312,0.13189354153631205,0.8133786440062036,57.199999999999996,42.8
