periodo,chosen_Sharpe,chosen_CAGR,SP500_Sharpe,percentil,pct_baten_chosen,K
2020-2026,0.7614622708000401,0.15885212815897254,0.6644508229056566,97.2,2.8000000000000003,19
2013-2026,0.7658622207719357,0.1318933946949823,0.8133788220294448,79.60000000000001,20.4,18
