Sharpe,CAGR,K
0.6210917585910221,0.1039347770411807,18
0.6615847818470293,0.11098450838493568,18
0.6550392282604032,0.10882196239725928,18
0.4710960900745766,0.07551559516274331,18
0.7346104427845953,0.12384798018839915,18
0.5993317678334537,0.09991834472042016,18
0.777107854644401,0.13393767022200387,18
0.8061283564936474,0.13294701129194197,18
0.6073219777002746,0.10276540652486088,18
0.7310154562698813,0.12443967365137065,18
0.7039716847299413,0.117637496945185,18
0.5971487335602365,0.09751143732435419,18
0.5336010105878816,0.08457289662333634,18
0.6756744104216935,0.1123073520696205,18
0.6574988338878678,0.10848088983512882,18
0.6566806469077743,0.10616132803559064,18
0.7135307699391089,0.12241466801166023,18
0.5900379892814568,0.09729558427745122,18
0.6364562645519571,0.10512841608011447,18
0.6084810766008346,0.09573599828057011,18
0.5398298819585149,0.08756835390323348,18
0.7015447526865775,0.11774655015826818,18
0.6765086169002444,0.11221042259170888,18
0.7041958236126501,0.11990690553834304,18
0.7503159416425292,0.12671071069242323,18
0.5412047117161777,0.08553578768856762,18
0.6832295451077145,0.11459584296985059,18
0.5048773796553325,0.08403575142499697,18
0.7246450814482598,0.12028614013139816,18
0.6697711873843127,0.10859962020106195,18
0.7710192577490205,0.1286802130366247,18
0.785967685311282,0.13563175679012573,18
0.780063603553377,0.13035107092122633,18
0.644648341039832,0.10574408012862757,18
0.5857779430472081,0.09436252644494525,18
0.6091404708215136,0.09781859881406096,18
0.6735978682813285,0.11645217723630408,18
0.7443739240711922,0.12252195992796344,18
0.7513328626955639,0.12560062775648717,18
0.6870440656544174,0.11446328836196251,18
0.6545751222537178,0.1053499569528582,18
0.6080329833685167,0.10352597475954584,18
0.5907195390076291,0.09495813757131022,18
0.541497492250195,0.08976976348971677,18
0.6138325910734705,0.09888218950282512,18
0.6382344015555548,0.10295751365459793,18
0.7718054385654628,0.13061825164966168,18
0.597223005757169,0.09754927510006883,18
0.4890215245784767,0.08157513544174755,18
0.49416672493690117,0.07927195736813486,18
0.7094831257257255,0.12523912790096414,18
0.7437348772306036,0.12412263394804612,18
0.6977664823532888,0.1151388974398182,18
0.5284105871134881,0.08891181795414171,18
0.6391884211191772,0.10393272674662346,18
0.6491519482593022,0.10629149892296708,18
0.5971874048430512,0.09692879125653708,18
0.5666984472792764,0.09524061998753885,18
0.6047702658902591,0.09717143319266919,18
0.6371033311922618,0.10372939554269833,18
0.5571976166442836,0.09129181733134861,18
0.7333751711433377,0.12314664971361511,18
0.5544558026566883,0.09037206093317929,18
0.575447404576735,0.0913074633783375,18
0.665261934279013,0.1070616586108104,18
0.6210632580613078,0.10198390578949046,18
0.6494659134089691,0.10769040332720436,18
0.6485721286670292,0.10877802726035357,18
0.5999908352922314,0.10203574735649856,18
0.6975079491517154,0.11552137368514726,18
0.716077057910295,0.11895858088850364,18
0.7395252984977946,0.12874085757098164,18
0.5430551629154416,0.08548064765851437,18
0.6755973511271782,0.11304277630939663,18
0.5293725688343983,0.08565996635381445,18
0.5770161857339239,0.09546177216081575,18
0.8077261546756554,0.13684391436723797,18
0.6783558053802743,0.10959892521428283,18
0.6964477475949571,0.1165604447350177,18
0.5890886640363644,0.0989720678224093,18
0.6803292858651392,0.1110645318451795,18
0.5557129719579328,0.09158419026109832,18
0.7530034396171124,0.1279816465821162,18
0.7181851980336702,0.12167221456851429,18
0.5873351481800404,0.09677297567510879,18
0.5693828159007527,0.09150834567972255,18
0.6014229382210882,0.09901274817973738,18
0.6139761049396835,0.0998058017576624,18
0.6149917029031478,0.1004244596256818,18
0.5446008800068866,0.09136526900475239,18
0.5905600009691198,0.09662588654298743,18
0.6771900248429894,0.11431222338105984,18
0.5612512369392655,0.09346252285148737,18
0.6353117807499099,0.10368002895781414,18
0.6551278232502218,0.10873089990576723,18
0.677889146860682,0.11345204368557815,18
0.7334362266471051,0.125250983472581,18
0.7063196094148636,0.1188639610913107,18
0.5538752335874007,0.0909050265822513,18
0.6155461130832196,0.10472599172593422,18
0.6763914589823237,0.1172547313562442,18
0.7143094152071621,0.11667898772987217,18
0.6849125472558735,0.11359888499047854,18
0.5310093574816999,0.0863008599325148,18
0.606244222696899,0.10194854566214429,18
0.6780571501563254,0.11327008386484771,18
0.6932417129577305,0.11626698132277569,18
0.7919200700858217,0.13539732282799521,18
0.7145689440229944,0.12205326990459198,18
0.830248550910205,0.1388841346933607,18
0.7315814740367002,0.12221184758768344,18
0.49774035323021587,0.08126501144568232,18
0.5567411388986705,0.08963986072721442,18
0.7170780673559487,0.12082998542761247,18
0.698397357413685,0.11743076564040567,18
0.6178028340953553,0.10182882263137238,18
0.8368462264679021,0.14371807704924922,18
0.6130313757424716,0.10214606316053554,18
0.8537262760352536,0.14894187483878474,18
0.7740093209212007,0.1269559513806895,18
0.5671038638033529,0.09588982526349166,18
0.8227943611431617,0.14022542683383343,18
0.5744537509183297,0.09573724647636817,18
0.5592889574971213,0.09043255148835527,18
0.5847918400791009,0.09403650104994199,18
0.657638334640998,0.10894854414758637,18
0.6059801295456739,0.09928466050446705,18
0.7170776407822654,0.12308456070106932,18
0.4842956175742784,0.0778472927209175,18
0.6165074860935412,0.10521381699545174,18
0.6568376769376667,0.11118862090051596,18
0.6516543662831287,0.11162421647340737,18
0.6986510448727815,0.11787459075825923,18
0.6238425167227964,0.10462766895450759,18
0.5423173722505733,0.08905418591451197,18
0.7086530466568928,0.11211606264278418,18
0.6097250557036691,0.09853324793841134,18
0.7385435539667753,0.12492622141029508,18
0.6521921748939726,0.10620840660500241,18
0.6676589825298055,0.11130895109598615,18
0.6986991843482907,0.11474112615396637,18
0.6524759081226329,0.10687891259019944,18
0.7630016389686274,0.12752758920024743,18
0.644641031901449,0.10501717545250155,18
0.7393241740416708,0.1229980030302058,18
0.7138814925174042,0.12220175636129871,18
0.7007238614187654,0.11627978625310398,18
0.625340664411415,0.10185994424143496,18
0.6496079692753796,0.10809720772235543,18
0.635520163920205,0.10414930252830912,18
0.7866729220149501,0.1361096625022058,18
0.5260642882535845,0.08690950004078468,18
0.5704213970465576,0.09327828518474668,18
0.553553935712261,0.08936432997497112,18
0.6411418657736647,0.10711246361430127,18
0.6347366481591226,0.10693023550418301,18
0.5553047079987317,0.08756081802930371,18
0.8329227507130996,0.13729242261925356,18
0.7744976955094847,0.12933666256363208,18
0.40070210832457903,0.06139798638886318,18
0.7293080891909497,0.12055867581778346,18
0.6883081031181263,0.11599752580819045,18
0.7469801710125797,0.12689229697955362,18
0.7580875020385817,0.12777718890607326,18
0.7583490786363959,0.12469687369812132,18
0.806630382252671,0.13312390677859431,18
0.7283704793809629,0.1235405201664368,18
0.7530761541178457,0.12234547841804422,18
0.6608037946606231,0.1111903775130898,18
0.7306193055952236,0.12771601444483438,18
0.6793821889848133,0.11345138361569385,18
0.5949603797712315,0.09667024315547135,18
0.6257456771053715,0.10435919947443195,18
0.6476011625647067,0.10637838760658824,18
0.6209030434135695,0.10133904342999545,18
0.6271998991351124,0.1068120154850194,18
0.7372280827748667,0.124943272435873,18
0.5958063631386353,0.09693583987148191,18
0.6794040449535682,0.1119970702330626,18
0.784230466753896,0.13009805218514492,18
0.6490043258725808,0.1064337961078079,18
0.5862823639525973,0.09595898480096587,18
0.6378273135233027,0.10675914665229747,18
0.5539111765840378,0.0916456309619822,18
0.6422159062723977,0.10859242351891507,18
0.6175825940300853,0.10005767712319424,18
0.62845453148802,0.10378691044086708,18
0.4832945990753758,0.07878076294229097,18
0.6646488757493039,0.10938194574234572,18
0.7948295522230752,0.12965269299094917,18
0.6196167742966106,0.10179342522312274,18
0.5714452219891142,0.09020755364350141,18
0.6879267072767283,0.114392101197889,18
0.584178777999405,0.09916624750769798,18
0.6046670579076638,0.10071841711229057,18
0.6663188116985481,0.11448323811452865,18
0.5566836720620741,0.09034769104016771,18
0.5727303415186324,0.09347357542980439,18
0.6553662704127926,0.11155962047505441,18
0.6880873261069121,0.1128706228697991,18
0.6039079753645877,0.10267623598082665,18
0.5948613392274283,0.09665579367899646,18
0.5513998758933554,0.08867912743613382,18
0.777707180390644,0.13622666113691206,18
0.6542423678929447,0.10590422054455706,18
0.6623350030606708,0.11206207436930304,18
0.7808787073507214,0.12665571367591633,18
0.6722980287675394,0.10984892105523048,18
0.5592804922211982,0.09219986664328905,18
0.6338888410170646,0.10501837001399839,18
0.7102174411094341,0.11867575111459328,18
0.6401930421050528,0.10223634215306143,18
0.7237272586801333,0.12157077015941309,18
0.6906907445770301,0.11144035994035373,18
0.5918726102945592,0.09566239640662144,18
0.5201470224606394,0.08226853256815159,18
0.6395379509699852,0.10776410042461437,18
0.644435307158337,0.10924119993065817,18
0.6847596894754068,0.11588931958910331,18
0.7818147414794511,0.1361097906247024,18
0.6624957105430839,0.11125721444144077,18
0.6574528090045717,0.11146453787123844,18
0.6616676678645962,0.11047950792320327,18
0.6691977396710048,0.11142206024950818,18
0.8717876996855531,0.14513725018686663,18
0.6230786604669657,0.10115608162792666,18
0.637344565757659,0.1078088095409846,18
0.7441219330276007,0.12751879334682514,18
0.6785666154120537,0.11536083658661855,18
0.6792768816848725,0.11282166794012949,18
0.6101722008748591,0.10001992931816828,18
0.5177142157701605,0.08321399907473648,18
0.7377861832037378,0.12373302248724416,18
0.7415930280254539,0.12408076406710444,18
0.7813766460713657,0.13087065614229698,18
0.8129078401412857,0.1446823211323709,18
0.6501240999670211,0.10697673658298301,18
0.6555188320837703,0.10582507257194629,18
0.7834779839320326,0.12804126204504418,18
0.6222363643046055,0.10129837937464625,18
0.5794986260969409,0.09550878788900796,18
0.7202369087971493,0.1253480221063472,18
0.7206141036436559,0.12328719476375194,18
0.6517957945172705,0.11107714313225192,18
0.656038938691277,0.10517691893488212,18
0.7537068634323677,0.12437911701091187,18
0.7857751907136546,0.13204662524572952,18
0.6786045647542549,0.11530069353678574,18
0.6603109630145273,0.10616265885560794,18
0.6221928539568132,0.10132172871332856,18
0.778022791796217,0.1311271859287162,18
0.6735236784229031,0.11603899986900501,18
0.6742994945582929,0.11148154017508749,18
0.7437804189808579,0.12528827695394784,18
0.5768783050004416,0.09140521253766098,18
0.4142997767793908,0.06689655789890026,18
0.5813936571580617,0.09353523573363742,18
0.7767819961459033,0.13511581895163638,18
0.5117936420232897,0.08123019710961454,18
0.5710339414601491,0.09311090849753967,18
0.6158902907378203,0.10220147137682312,18
0.5266327283561083,0.08521040748583175,18
0.5333989249666731,0.08631091911750155,18
0.6855690618840505,0.11061308781684387,18
0.6298520284277676,0.10513407693509302,18
0.7643366633358195,0.1304627252322228,18
0.6437755551182168,0.10567963462934982,18
0.47971954239219666,0.07622679829846879,18
0.747555259116913,0.12368641117249624,18
0.7173390987027237,0.1170610192067616,18
0.6682011722295941,0.11237543642336933,18
0.6048010531295402,0.09938001928646911,18
0.7239160757115498,0.12138207646022847,18
0.9090572472096429,0.15579103068198186,18
0.685627480618085,0.11737482156689527,18
0.8230205694090748,0.14046956544739309,18
0.7231175230562393,0.1233612316444277,18
0.7675159387142158,0.1279816767213351,18
0.6405484705133472,0.10358430652353157,18
0.6433624952538965,0.1065784904613325,18
0.6329219870742754,0.10580816137731763,18
0.6218765996963254,0.09903479789511849,18
0.4488150718263782,0.07078202402584721,18
0.6451595178172342,0.10443800219657629,18
0.8671723821229145,0.14561925537458253,18
0.7400977153269247,0.1277143716738085,18
0.6351665899557669,0.10294458720392519,18
0.7262811622611004,0.12083039979402366,18
0.5594294558666214,0.09169969104506537,18
0.624039941143674,0.1021913625579185,18
0.5468603304316868,0.0912778058283219,18
0.6680545002183054,0.11013664511317067,18
0.4857070018831577,0.07861532696614892,18
0.6008877802795098,0.09750927448043623,18
0.8311403788491466,0.14575286484828043,18
0.5956350707184426,0.09897493069163588,18
0.41767121891026043,0.06364735639817831,18
0.6151975714555487,0.10261453929105158,18
0.637246913730605,0.10611876384479291,18
0.6906394672569768,0.11536061330695757,18
0.6451967252114521,0.1066254845299539,18
0.6380054847063437,0.10417590393771947,18
0.6315527966056735,0.10368034252305303,18
0.7282709963619538,0.12412803797230554,18
0.6481782209970153,0.10757331153795668,18
0.7306940676259863,0.12354181107271867,18
0.6577865976408398,0.11018776725430857,18
0.698790479907406,0.11863007948301174,18
0.7124781529682782,0.1204165892867679,18
0.5204564545031142,0.08580376817451407,18
0.6902346274022668,0.11843647754409536,18
0.5712121789872071,0.0962156414547044,18
