Sharpe,CAGR,K
0.7302254721695082,0.13899515922207195,19
0.6787956064403353,0.12369299648284238,19
0.7413008873782427,0.17382455257210783,19
0.6943075438851926,0.1462360558993474,19
0.5067098361478553,0.09343281656206082,19
0.48679951576993535,0.10302810010577712,19
0.6387097732974255,0.135688405194049,19
0.6769114807330942,0.12732958198726574,19
0.663217993367702,0.15046755896004393,19
0.5900844336451615,0.13595031648627454,19
0.5754567627790285,0.12146643706646065,19
0.5436939674171403,0.10660603177373185,19
0.5707938392906979,0.09681741391048448,19
0.5378634181907604,0.11122101303417486,19
0.6219974324555417,0.11534574540190667,19
0.6363178494626711,0.11628516957530843,19
0.4474682145584891,0.08369046239660638,19
0.7287706348542407,0.15073579899534195,19
0.6400460939476664,0.12086022398381413,19
0.5160769571567045,0.10193520597918115,19
0.8085011339117013,0.15724844935807814,19
0.5903544445893443,0.11726015535878709,19
0.6052958308918067,0.12020637330447159,19
0.6698506386706636,0.1501915500504376,19
0.711832467522692,0.1465081031803097,19
0.6673754190292939,0.1419599960561051,19
0.6714089791768633,0.13760624607533778,19
0.6318231629561385,0.1267806318961595,19
0.498662355172754,0.10428929772737083,19
0.7432335733545211,0.18191448267226917,19
0.5502070312223183,0.11399790767708384,19
0.6586454467053181,0.13265003288497978,19
0.5827196809816712,0.11901711842261098,19
0.5697305101581714,0.12466970945228617,19
0.574145665211598,0.11192818700392149,19
0.7488781874666985,0.1778428734398061,19
0.6566148038113241,0.12213869196952398,19
0.5855000378805032,0.11816136740492245,19
0.6140657409924843,0.12033423457046166,19
0.5529519713410663,0.08695351644651694,19
0.47158813139044276,0.09725462233642812,19
0.5261837844737209,0.10971016883114615,19
0.745473199185765,0.16076543972698154,19
0.42724038552385313,0.08353491278083225,19
0.4164949055042345,0.07509268301890004,19
0.5542594839741144,0.10737868464048028,19
0.4647794689349794,0.08094646425000795,19
0.5241863038940782,0.11222893342557616,19
0.5909210784639378,0.09745813251530788,19
0.5598781616021439,0.10362178021891166,19
0.5544918524216105,0.10602656631867435,19
0.5062405544594811,0.08461414783857002,19
0.5312035429078736,0.09287492842372824,19
0.630878591233815,0.13455055581929853,19
0.7346264199945567,0.13751351940031808,19
0.5774692895180303,0.12423653991319594,19
0.5717915777412579,0.09913984371198237,19
0.5273801490925984,0.09848508159565195,19
0.3384674063997399,0.05630683382476054,19
0.5278903177899495,0.09956563850666877,19
0.46964746757717174,0.09580444986476655,19
0.5250008349928186,0.1075724615926692,19
0.6129418584259925,0.13558439798540056,19
0.5730880270364206,0.10506526197135213,19
0.4612282395781371,0.07806892560652456,19
0.6468617171767405,0.12376130239560101,19
0.4995686864706541,0.08453420835511283,19
0.5370141468497316,0.11224192053902371,19
0.6067329255974867,0.1234979350732357,19
0.453407108635578,0.07685786743322365,19
0.44089983023422413,0.08399230161578886,19
0.46376136014366615,0.09566531913919363,19
0.5207489367297826,0.09964847148115474,19
0.6150979357571988,0.13076050552662855,19
0.4100355531242423,0.06594367388866651,19
0.6441521335560106,0.1271853331347037,19
0.4469645805086217,0.08178400287196297,19
0.5243305202575809,0.10598793925910255,19
0.7071561599159288,0.16535745999479134,19
0.6154136014831063,0.12581217268264822,19
0.4556763241951868,0.08567178148741372,19
0.6485273724788759,0.13156714144867077,19
0.393944175126222,0.07589437051625914,19
0.5595339747430227,0.11357969865360329,19
0.6113582373426425,0.127848521313086,19
0.509057545774385,0.10316972545954384,19
0.47579546667482325,0.08693338346694857,19
0.6223585247054577,0.12720317807326942,19
0.6804543603241076,0.13683486405743994,19
0.7505018700936771,0.1768101756367304,19
0.6714721084792579,0.13642876191989028,19
0.5561261494418658,0.10546252726765015,19
0.5800413236950676,0.13113322251277726,19
0.7920360415744011,0.16005152784798082,19
0.6089708501646935,0.11231635305607446,19
0.6048148611597071,0.14030439290430174,19
0.5689821428790265,0.11434405823896565,19
0.5123980045750484,0.1043925091656277,19
0.5106251615742217,0.09307631675049333,19
0.5730243903813894,0.11710586814150159,19
0.4623054345005115,0.0953433518034954,19
0.5491707665141307,0.11747699326902361,19
0.5692837537075419,0.10917997749901764,19
0.4970396343363713,0.10855850148121604,19
0.4836834457882723,0.0919419438397866,19
0.5895507452338351,0.1273939123690182,19
0.5492307299428946,0.0904813547483383,19
0.49289622303027547,0.10040704900707298,19
0.7409788932517355,0.14928668922651744,19
0.44259932908043925,0.08986967249938149,19
0.5205757575761571,0.11149802845186763,19
0.584738148380061,0.1415747410742607,19
0.5574064377376218,0.12005315606177014,19
0.6366129139551426,0.12640140823486568,19
0.5472850416751495,0.11130963715570585,19
0.7016068712267055,0.16233238669142636,19
0.6157216703008811,0.12967461702165672,19
0.5175040119397533,0.09285447220269427,19
0.4228464936301298,0.08374069058668998,19
0.5789637656751536,0.11807526893342746,19
0.61775313974372,0.1243481353566167,19
0.5077418388236039,0.09418880212356151,19
0.4560088328032098,0.09216851948689486,19
0.44320365108589477,0.07904998101510485,19
0.4271291102285965,0.07790744044176812,19
0.4767546987897458,0.09444797275466033,19
0.627564960854171,0.13105920717720143,19
0.5460634573353933,0.1071450620808958,19
0.3783907592784856,0.06426265453830249,19
0.6437813086320502,0.1446747359140106,19
0.6421490768673058,0.14053365136683094,19
0.4771291098700815,0.1049009041225577,19
0.633584043234064,0.13823307758873815,19
0.5092022987816598,0.09614059977163425,19
0.5982786548034446,0.12197250830835582,19
0.6875065082423655,0.13307691366322594,19
0.4809669803929888,0.08901968885783162,19
0.5861909018537459,0.12436261166935747,19
0.42760231510085794,0.08778159887289205,19
0.4336530660649835,0.08588723580052204,19
0.6252542981630236,0.13098402514091645,19
0.5415741841846848,0.10285814310307195,19
0.4598027587530201,0.08064821798151622,19
0.6381320104206554,0.11423668501441586,19
0.7117926223374943,0.15815345594044006,19
0.6446834746109803,0.14063162339179014,19
0.4198867482792312,0.06451379819484182,19
0.49521808110817217,0.09853190229932474,19
0.5021245180941757,0.09225734205444214,19
0.7817391609483948,0.19352335835699597,19
0.5338822931189351,0.08897340461224168,19
0.5672165535286051,0.11644244499520506,19
0.6088631898972342,0.13615370511008051,19
0.5005927776038224,0.092061726432493,19
0.5056923856196122,0.11647827998871851,19
0.7262064982205899,0.15046930488028165,19
0.5790228785441792,0.1260148146502409,19
0.5972743832961405,0.11613582790050225,19
0.6043701328803495,0.11233194141358838,19
0.606814174049534,0.13131430828386725,19
0.6791287960374245,0.13758134189275806,19
0.4806705197272699,0.1021597592177741,19
0.6098391945897933,0.11944072950387263,19
0.48907355183771245,0.09437801054087092,19
0.5777017525029998,0.12154964233695598,19
0.48395827604980796,0.08837368905629273,19
0.5517358247588315,0.10204437493598562,19
0.48111426220392917,0.08625980551677803,19
0.6934777379691156,0.14707344763098762,19
0.7078778762882362,0.15051743865065892,19
0.6559693488485826,0.1261150363274668,19
0.4773804312643319,0.09123432273616428,19
0.47510678326799693,0.08845825968673537,19
0.5893388841536439,0.10710984353330533,19
0.5397496523512763,0.09982559857076923,19
0.721141723694963,0.18103891747607315,19
0.6684861502145882,0.13976941499279172,19
0.6746779467147146,0.16821593769979604,19
0.4622336607926108,0.08203584585580725,19
0.6939608342890499,0.1391646325881164,19
0.44692526569539215,0.08887223743127604,19
0.5271460178579506,0.0963599322539499,19
0.6436659372486844,0.12031810936023435,19
0.8293567993508866,0.2275368907423294,19
0.4607373664723633,0.07774219216334943,19
0.5261513848921756,0.10696858058454262,19
0.64263619634602,0.13688952321691517,19
0.7066694426690517,0.1450261756551008,19
0.5492363290524821,0.11178997007681946,19
0.48869950961553577,0.08657233822880306,19
0.654697432276332,0.1284361179501723,19
0.5294249342663587,0.10539649763029568,19
0.6529042847238526,0.12375210754323795,19
0.5799540881076191,0.12024326873884972,19
0.48716931033016847,0.09573917911204344,19
0.5813852057115206,0.11456131820182458,19
0.5785963922371411,0.12081042066048076,19
0.5607003332523893,0.10922008162826735,19
0.7145248972120822,0.15335590505307106,19
0.7084904386218944,0.15890302890923502,19
0.6334305483747632,0.11431024385578681,19
0.43309750531547764,0.08349430322165574,19
0.7014242815670403,0.1519426579072769,19
0.5199510125249877,0.09874254311757924,19
