Date,Portfolio Value,Rebalance,Trade Cost EUR,Selected ETFs,N ETFs,Weight XEON,Regime,Reason
2023-04-28,13992894.62,True,2359.23,"IWDA.L, VGK, EWJ, IUSN.DE, MCHI, EWT, EWY, XLI, ITB, XLP, XLK, SOXX, BOTZ, GLD, COPX, BITO",16,0.0184,normal,"rebalance: COPX peso=0.0812 fuera de [0.0186, 0.0586]"
2023-05-31,14137206.01,True,2297.11,"VGK, EWJ, IUSN.DE, MCHI, XLC, ITB, XLP, XLK, SOXX, IGV, BOTZ, GLD, SLV, DBA, COPX, BITO",16,0.0084,normal,"rebalance: BITO peso=0.0986 fuera de [0.1011, 0.1411]"
2023-06-30,14888970.84,True,2412.44,"IWDA.L, VGK, EWJ, IUSN.DE, EWT, EWY, XLC, ITB, XLU, XLK, SOXX, IGV, BOTZ, GLD, SLV, DBA, IEF, BITO",18,0.0,normal,"rebalance: COPX peso=0.0382 fuera de [0.0000, 0.0200]"
2023-07-31,15078434.59,True,3168.88,"IWDA.L, EWJ, EWZ, XLY, XLC, XLI, IYT, ITB, XLK, SOXX, IGV, BOTZ, DBA, BITO",14,0.0,normal,"rebalance: DBA peso=0.0425 fuera de [0.0530, 0.0930]"
2023-08-31,14574217.24,True,1559.09,"IWDA.L, EWZ, INDA, XLC, XOP, XLI, IYT, ITB, XLP, XLK, SOXX, IGV, BOTZ, DBA, BITO",15,0.0,normal,"rebalance: BITO peso=0.0979 fuera de [0.0543, 0.0943]"
2023-09-29,14607376.29,True,2116.41,"IWDA.L, EWZ, INDA, XLY, XLC, XOP, IYT, ITB, XLK, SOXX, IGV, SLV, DBA",13,0.0164,normal,"rebalance: BITO peso=0.0788 fuera de [0.0000, 0.0200]"
2023-10-31,14098808.21,True,3095.99,"IWDA.L, EWZ, INDA, XLY, XLC, XLE, XOP, ITB, XLK, SOXX, IGV, CIBR, DBA, TIP, HYG, EMB, BITO",17,0.0145,normal,"rebalance: BITO peso=0.0000 fuera de [0.0812, 0.1212]"
2023-11-30,14756615.77,True,1900.23,"IEMA.L, EWZ, INDA, XLY, XLC, KBE, XLE, XOP, XLK, SOXX, IGV, CIBR, GLD, DBA, TIP, HYG, EMB, BITO",18,0.0121,normal,"rebalance: DBA peso=0.0946 fuera de [0.0328, 0.0728]"
2023-12-29,15393347.89,True,3265.81,"IWDA.L, IEMA.L, EWZ, INDA, XLY, XLC, XLF, KBE, XOP, XLB, ITB, XLK, SOXX, IGV, CIBR, GLD, SLV, DBA, HYG, BITO",20,0.0,normal,"rebalance: BITO peso=0.1105 fuera de [0.0624, 0.1024]"
2024-01-31,15627847.47,True,3373.03,"IWDA.L, IUSN.DE, IEMA.L, EWZ, INDA, EWT, EWY, XLC, XLF, KBE, XLB, ITB, SOXX, IGV, CIBR, VNQ, GLD, BITO",18,0.0,normal,"rebalance: DBA peso=0.0288 fuera de [0.0000, 0.0200]"
