Date,IWDA.L,VGK,EWJ,IUSN.DE,IEMA.L,MCHI,EWZ,INDA,EWT,EWY,XLY,XLC,XLF,KBE,XLE,XOP,XLI,IYT,XLB,ITB,XLV,XBI,XLP,XLU,XLK,SOXX,IGV,CIBR,BOTZ,VNQ,LIT,GLD,SLV,DBA,COPX,TLT,IEF,TIP,HYG,LQD,EMB,BITO,XEON.DE
2013-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-02,9229.44106152928,1732.0085113473694,21671.160552246183,0.0,0.0,0.0,0.0,0.0,2955.725721333923,0.0,13444.59601485793,0.0,3377.890274221291,2618.286113779389,0.0,0.0,3636.7094438954987,0.0,0.0,5378.64599809488,6902.634760834066,0.0,6989.87476085055,0.0,5380.213129486464,620.3588723100565,0.0,0.0,0.0,1748.6647001215852,0.0,0.0,0.0,0.0,0.0,3540.7812595225437,3043.6644557677564,0.0,2562.8332605859264,2329.682118440976,3300.218361252851,0.0,0.0
2013-08-05,5664.717142201317,739.3967040794804,19209.82516676936,0.0,0.0,0.0,0.0,0.0,-686.1776983826803,0.0,6431.603687763889,0.0,-384.99188667521594,-348.09854437198373,0.0,0.0,-113.71757096229157,0.0,0.0,1338.9070708422096,687.6501183752725,0.0,2784.5589852003804,0.0,3974.7271637163376,-2836.945656937673,0.0,0.0,0.0,-3822.3715209459615,0.0,0.0,0.0,0.0,0.0,976.1687050156102,1397.7387377528403,0.0,530.0541974667858,563.0507763125454,1183.0279768042792,0.0,0.0
2013-08-06,3730.841686489227,523.9535564964424,21640.73396688349,0.0,0.0,0.0,0.0,0.0,-10382.006106907107,0.0,3994.0291900172097,0.0,-4434.7623150236695,-4339.672462647823,0.0,0.0,-2529.435422813322,0.0,0.0,-2694.8174996279236,-2269.5619816709027,0.0,3191.654420135501,0.0,2198.95744258404,-4986.53579649323,0.0,0.0,0.0,-5627.3610667685325,0.0,0.0,0.0,0.0,0.0,1884.2286452196024,1780.3295421022704,0.0,656.8019625901329,1008.1197236653775,1508.0266503931546,0.0,0.0
2013-08-07,-5052.009244144282,181.49887991192907,-487.19501705394214,0.0,0.0,0.0,0.0,0.0,-24238.624690681565,0.0,-8155.050018157069,0.0,-10073.321744490542,-9143.665106533448,0.0,0.0,-4735.99336890985,0.0,0.0,-7888.749501527775,-5177.38269196988,0.0,-5103.492093485971,0.0,-844.1062309383042,-11974.020388906214,0.0,0.0,0.0,-11782.510415009636,0.0,0.0,0.0,0.0,0.0,2608.7895028502016,1745.3956601365005,0.0,-727.5942037567872,687.2018685841379,446.9147610993655,0.0,0.0
2013-08-08,-3929.9121053609815,1409.0661144000042,-7858.477951044442,0.0,0.0,0.0,0.0,0.0,-19475.681052183994,0.0,-4132.981680865822,0.0,-10084.989418844507,-8708.69427057132,0.0,0.0,-3852.173660348471,0.0,0.0,-6830.516390937381,-7537.218348154436,0.0,-2397.720219029008,0.0,-530.2074265935214,-12912.801873566661,0.0,0.0,0.0,-13708.830131240997,0.0,0.0,0.0,0.0,0.0,2658.32650902457,1546.5417599274795,0.0,-782.6258503668363,616.3439547417414,292.4492235716182,0.0,0.002211125848684161
2013-08-09,-6199.962650517091,1337.516780322232,-9820.266838190544,0.0,0.0,0.0,0.0,0.0,-24681.99480064129,0.0,-9002.18525217902,0.0,-13421.377269689603,-11519.253573629798,0.0,0.0,-6406.62730539233,0.0,0.0,-7760.2597213901745,-13689.60517200239,0.0,-9339.11415041849,0.0,-4326.408925878187,-16674.221154890754,0.0,0.0,0.0,-8162.490468976271,0.0,0.0,0.0,0.0,0.0,2389.120669231586,1099.4055554845731,0.0,-1338.0528692166235,35.14592322170006,916.7330673087948,0.0,0.002211125848684161
2013-08-12,-1671.5162542275184,1028.1409892701565,-7743.6737596093335,0.0,0.0,0.0,0.0,0.0,-20626.15795140636,0.0,-7364.711456211965,0.0,-13881.80906723486,-10785.475375256681,0.0,0.0,-4615.494477238621,0.0,0.0,-6084.460797618198,-14721.843804637589,0.0,-9190.716905105153,0.0,276.54573690120014,-13510.629028792631,0.0,0.0,0.0,-12064.436033992082,0.0,0.0,0.0,0.0,0.0,1631.3331654191984,1316.0429074286783,0.0,-909.8993394957796,535.2925217700633,1360.7344764513844,0.0,8.247647747390303e-06
2013-08-13,884.171651748059,2498.3831641966676,3960.384535881516,0.0,0.0,0.0,0.0,0.0,-11839.737227207279,0.0,-4022.508347764438,0.0,-9469.897548767514,-9333.06877356431,0.0,0.0,-1365.5678439864996,0.0,0.0,-8936.004090022077,-7836.905479098042,0.0,-5162.064461193395,0.0,5269.206381589359,-6330.054176734599,0.0,0.0,0.0,-21862.20957986592,0.0,0.0,0.0,0.0,0.0,-570.4138773459317,205.21979859380076,0.0,-219.9380018079221,-188.63496006236005,548.0278326951322,0.0,-0.00437282764695736
2013-08-14,5026.64769823557,3012.308966559616,925.8643733497138,0.0,0.0,0.0,0.0,0.0,-13974.504233333635,0.0,-12623.416042972685,0.0,-10452.805149718011,-8473.815150959568,0.0,0.0,-3417.1352749632597,0.0,0.0,-12717.107100801986,-13396.151945258396,0.0,-9901.925130808148,0.0,5820.834194377894,-12586.678911192213,0.0,0.0,0.0,-23558.936262991214,0.0,0.0,0.0,0.0,0.0,139.01923346502952,791.6975743272353,0.0,-202.27882517491696,-114.07780110619973,616.8111473258315,0.0,-0.00437282764695736
