Date,Portfolio Value,Rebalance,Trade Cost EUR,Selected ETFs,N ETFs,Weight XEON,Regime,Reason
2021-08-31,27766999.28,True,4223.02,"IWDA.L, VGK, EWT, XLC, XLF, XLE, XLI, ITB, XLV, XLP, XLK, SOXX, IGV, CIBR, VNQ, LIT, DBA, COPX",18,0.0144,normal,"rebalance: COPX peso=0.0000 fuera de [0.0077, 0.0477]"
2021-09-30,27056489.05,True,4298.54,"IWDA.L, EWZ, INDA, XLC, XLF, ITB, XLV, XLP, XLU, XLK, SOXX, IGV, CIBR, VNQ, LIT, DBA",16,0.0165,normal,"rebalance: COPX peso=0.0268 fuera de [0.0000, 0.0200]"
2021-10-29,28155690.11,True,5326.2,"IWDA.L, EWJ, INDA, XLF, XLE, XOP, XLV, XLK, IGV, CIBR, BOTZ, VNQ, LIT, GLD, DBA, TIP, HYG, LQD",18,0.0,normal,"rebalance: EWJ peso=0.0000 fuera de [0.0222, 0.0622]"
2021-11-30,28407885.88,True,4917.06,"IWDA.L, INDA, XLY, XLF, KBE, XLE, XOP, XLV, XLK, IGV, CIBR, VNQ, LIT, DBA",14,0.0172,normal,"rebalance: DBA peso=0.0811 fuera de [0.0355, 0.0755]"
2021-12-31,28925878.34,True,5125.92,"IWDA.L, INDA, EWT, XLY, XLF, KBE, XLE, ITB, XLV, XLK, SOXX, CIBR, VNQ, LIT, DBA, TLT, IEF, TIP, LQD",19,0.0083,normal,"rebalance: DBA peso=0.0555 fuera de [0.0714, 0.1114]"
2022-01-31,28329065.94,True,5793.66,"IWDA.L, INDA, EWT, XLY, XLF, KBE, XLE, XLB, ITB, XLV, XLP, XLU, XLK, SOXX, CIBR, VNQ, LIT, DBA, TIP",19,0.0096,normal,"rebalance: DBA peso=0.0969 fuera de [0.0455, 0.0855]"
2022-02-28,27974035.74,True,5720.11,"INDA, EWT, XLY, XLF, KBE, XLE, XOP, XLV, XLP, XLU, XLK, SOXX, CIBR, VNQ, DBA, TLT, IEF, TIP, HYG, EMB",20,0.0,normal,"rebalance: DBA peso=0.0686 fuera de [0.0874, 0.1274]"
2022-03-31,28987813.63,True,6059.73,"VGK, EWT, XLY, XLF, KBE, XLE, XOP, IYT, ITB, XLP, XLK, SOXX, CIBR, GLD, DBA, COPX, IEF, TIP, HYG",19,0.0079,caution,"rebalance: CIBR peso=0.0273 fuera de [0.0405, 0.0805]"
2022-04-29,28906868.32,True,6801.56,"IWDA.L, VGK, EWZ, EWT, XLY, XLE, XOP, XLI, IYT, XLB, XLV, XLU, XLK, SOXX, CIBR, DBA, COPX",17,0.0143,caution,"rebalance: COPX peso=0.0410 fuera de [0.0421, 0.0821]"
2022-05-31,28922293.78,True,7238.77,"VGK, IEMA.L, EWZ, INDA, EWT, EWY, XLE, XOP, IYT, XLB, XLV, XLP, XLU, XLK, CIBR, GLD, DBA, COPX, TIP, HYG",20,0.0,caution,"rebalance: CIBR peso=0.0565 fuera de [0.0000, 0.0369]"
