Date,IWDA.L,VGK,EWJ,IUSN.DE,IEMA.L,MCHI,EWZ,INDA,EWT,EWY,XLY,XLC,XLF,KBE,XLE,XOP,XLI,IYT,XLB,ITB,XLV,XBI,XLP,XLU,XLK,SOXX,IGV,CIBR,BOTZ,VNQ,LIT,GLD,SLV,DBA,COPX,TLT,IEF,TIP,HYG,LQD,EMB,BITO,XEON.DE
2013-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-02,9229.44106152928,1732.0085113473694,21671.160552246183,0.0,0.0,0.0,0.0,-0.0,2955.725721333923,0.0,13444.59601485793,0.0,3377.890274221291,2618.286113779389,0.0,0.0,3636.7094438954987,0.0,0.0,5378.64599809488,6902.634760834066,0.0,6989.87476085055,0.0,5380.213129486464,620.3588723100565,0.0,0.0,0.0,1748.6647001215852,0.0,0.0,0.0,0.0,0.0,3540.7812595225437,3043.6644557677564,0.0,2562.8332605859264,2329.682118440976,3300.218361252851,0.0,0.0
2013-08-05,-3564.723919327963,-992.611807267889,-2461.3353854768256,0.0,-0.0,-0.0,-0.0,-0.0,-3641.9034197166034,-0.0,-7012.992327094042,0.0,-3762.882160896507,-2966.3846581513726,-0.0,0.0,-3750.4270148577903,-0.0,-0.0,-4039.7389272526707,-6214.984642458793,-0.0,-4205.31577565017,-0.0,-1405.4859657701263,-3457.3045292477295,-0.0,0.0,0.0,-5571.036221067547,-0.0,-0.0,-0.0,-0.0,-0.0,-2564.6125545069335,-1645.9257180149161,-0.0,-2032.7790631191406,-1766.6313421284306,-2117.190384448572,0.0,0.0
2013-08-06,-1933.87545571209,-215.443147583038,2430.9088001141317,0.0,-0.0,-0.0,-0.0,-0.0,-9695.828408524427,-0.0,-2437.5744977466793,0.0,-4049.7704283484536,-3991.5739182758393,-0.0,-0.0,-2415.7178518510304,-0.0,-0.0,-4033.724570470133,-2957.2121000461752,-0.0,407.09543493512047,-0.0,-1775.7697211322977,-2149.590139555557,-0.0,0.0,0.0,-1804.9895458225712,0.0,-0.0,-0.0,0.0,-0.0,908.0599402039923,382.59080434943013,0.0,126.74776512334707,445.0689473528321,324.9986735888754,0.0,0.0
2013-08-07,-8782.850930633509,-342.4546765845133,-22127.928983937432,0.0,-0.0,-0.0,-0.0,-0.0,-13856.618583774456,-0.0,-12149.079208174278,0.0,-5638.559429466872,-4803.992643885626,-0.0,-0.0,-2206.5579460965278,-0.0,-0.0,-5193.932001899851,-2907.8207102989777,-0.0,-8295.146513621472,0.0,-3043.0636735223443,-6987.484592412984,-0.0,0.0,0.0,-6155.149348241103,-0.0,-0.0,-0.0,0.0,-0.0,724.5608576305992,-34.933881965769835,-0.0,-1384.3961663469202,-320.9178550812397,-1061.111889293789,0.0,0.0
2013-08-08,1122.0971387833008,1227.5672344880752,-7371.2829339905,0.0,0.0,0.0,0.0,0.0,4762.9436384975725,0.0,4022.0683372912463,0.0,-11.66767435396477,434.9708359621277,0.0,0.0,883.8197085613787,0.0,0.0,1058.2331105903934,-2359.8356561845553,-0.0,2705.771874456963,0.0,313.8988043447827,-938.7814846604465,0.0,0.0,0.0,-1926.3197162313618,0.0,0.0,0.0,0.0,0.0,49.53700617436851,-198.85390020902108,-0.0,-55.03164661004905,-70.85791384239646,-154.4655375277473,0.0,0.002211125848684161
2013-08-09,-2270.05054515611,-71.54933407777199,-1961.7888871461025,0.0,0.0,0.0,0.0,-0.0,-5206.3137484572935,-0.0,-4869.203571313197,0.0,-3336.387850845096,-2810.559303058476,-0.0,-0.0,-2554.4536450438586,-0.0,0.0,-929.743330452793,-6152.3868238479545,-0.0,-6941.3939313894825,-0.0,-3796.2014992846653,-3761.419281324094,-0.0,0.0,0.0,5546.339662264726,-0.0,-0.0,0.0,-0.0,0.0,-269.20583979298425,-447.1362044429063,-0.0,-555.4270188497874,-581.1980315200414,624.2838437371767,0.0,0.0
2013-08-12,4528.4463962895725,-309.3757910520755,2076.59307858121,0.0,0.0,0.0,0.0,-0.0,4055.836849234929,0.0,1637.4737959670558,0.0,-460.431797545258,733.7781983731161,-0.0,-0.0,1791.1328281537094,0.0,0.0,1675.7989237719762,-1032.2386326351996,-0.0,148.39724531333752,-0.0,4602.954662779387,3163.5921260981227,0.0,0.0,0.0,-3901.9455650158116,-0.0,0.0,0.0,0.0,0.0,-757.7875038123876,216.63735194410515,0.0,428.15352972084395,500.1465985483632,444.0014091425896,0.0,-0.002202878200936771
2013-08-13,2555.6879059755775,1470.242174926511,11704.05829549085,0.0,0.0,0.0,-0.0,0.0,8786.42072419908,0.0,3342.203108447527,0.0,4411.9115184673465,1452.406601692372,0.0,0.0,3249.926633252121,-0.0,0.0,-2851.54329240388,6884.938325539547,0.0,4028.652443911758,-0.0,4992.660644688159,7180.574852058032,0.0,0.0,0.0,-9797.773545873837,0.0,-0.0,0.0,-0.0,0.0,-2201.74704276513,-1110.8231088348775,-0.0,689.9613376878575,-723.9274818324234,-812.7066437562521,0.0,-0.004381075294704751
2013-08-14,4142.476046487511,513.9258023629483,-3034.5201625318023,0.0,0.0,0.0,-0.0,0.0,-2134.7670061263557,0.0,-8600.907695208247,0.0,-982.9076009504977,859.2536226047414,-0.0,-0.0,-2051.56743097676,-0.0,-0.0,-3781.1030107799097,-5559.246466160355,0.0,-4739.860669614753,-0.0,551.6278127885354,-6256.624734457614,-0.0,0.0,0.0,-1696.7266831252928,0.0,0.0,0.0,0.0,-0.0,709.4331108109612,586.4777757334346,-0.0,17.659176633005142,74.55715895616032,68.78331463069925,0.0,0.0
