w_momentum,w_reversal,w_trend,w_vol_penalty,w_drawdown_buy,MERTON_GAMMA,MERTON_MAX_WEIGHT,MERTON_MAX_SECTOR,MERTON_N_TOP,VIEW_SCALE,BL_TAU,BL_DELTA,BL_RF,COV_BLEND_ALPHA,COV_SHRINKAGE,EWMA_LAMBDA,COV_SHORT_WINDOW,COV_LONG_WINDOW,COMPOSITE_MOMENTUM_WINDOW,COMPOSITE_MOMENTUM_SKIP,COMPOSITE_REVERSAL_WINDOW,COMPOSITE_TREND_WINDOW,COMPOSITE_VOL_WINDOW,COMPOSITE_DRAWDOWN_WINDOW,DN_BAND,DN_MIN_BAND,DN_CRISIS_MULT,DN_CAUTION_MULT,VOL_CAUTION_THR,VOL_CRISIS_THR,CRISIS_VIEW_BOOST,CAUTION_VIEW_BOOST,REGIME_EW_MDD_CRISIS,REGIME_EW_MDD_CAUTION,REGIME_AVG_CORR_CRISIS,REGIME_AVG_CORR_CAUTION,REGIME_LOOKBACK_DD,REGIME_CORR_LOOKBACK,REBALANCE_FREQ,BL_PRIOR_WEIGHTS_MODE,Sharpe
0.11184961941278464,0.2622448554114144,0.546798826284779,0.02231075932366826,0.056795939567353716,-0.4789678747435935,0.22816823046167875,0.2824434873498245,32,0.3874099449024446,0.04951944989838328,2.5227800436065255,0.029827932863255965,0.4651852894566776,0.09828882550343437,0.9524451472855189,121,206,148,24,24,244,107,338,0.08866395475081137,0.008180378453201796,2.107460725730456,1.4836246969233877,0.22239298260725376,0.45606691990828,1.1411807390005484,1.240660805133545,0.39612003933163464,0.11545116054734213,0.5487439092802715,0.3243431828053927,264,22,10,1,0.7320086122048827
0.16711932423544584,0.12235328805178385,0.42523253224098256,0.07934903170532048,0.20594582376646725,-1.261136916839619,0.21322987495097148,0.30019223854030486,37,0.268671585714925,0.05751265307379877,3.3122686777911214,0.031381248993133395,0.5035923964454672,0.05590702528412425,0.8707770802336475,21,378,74,24,36,205,111,139,0.022383519526292632,0.0338356042578023,2.175763881333721,1.308709743204562,0.2180851965937605,0.3405245685160822,1.1036017606651454,1.0073758322395558,0.3910424727071007,0.15595638366437983,0.4841685540511208,0.39827949984539074,375,41,63,0,0.7686973180963912
0.14796318473551728,0.27785495920366343,0.01334148436183352,0.4694740900026972,0.09136628169628862,-1.3978084361997982,0.20718481426102248,0.32324376675302147,38,0.3320669489334903,0.08823359955636222,1.9344226070429806,0.014183223621454423,0.454884511112753,0.392405398059976,0.9723307793046865,98,265,106,49,21,218,54,378,0.022800917178723318,0.0026975573236810435,1.8080751749368125,1.245094051114064,0.2814269978041472,0.49061563218931675,1.327476389513774,1.1984426542940503,0.3646102392032863,0.19372657880780106,0.6362254934519798,0.3039576278060373,314,79,21,0,0.6711362966309591
0.24325012142054872,0.11071253193475192,0.23111378245756592,0.4049418660539269,0.009981698133206601,-1.1046467159228457,0.2652227329686116,0.49970062190810044,10,0.18192660378091607,0.03954515542771864,2.2144394255590543,0.002739901630913458,0.8222309502260003,0.2727264976520935,0.8707672711945945,21,264,129,4,13,193,59,184,0.022704725300533097,0.004609500147756101,2.110525245240442,1.6369806109581821,0.21897607765610363,0.46799405879905,1.2112396599451676,1.0391977020370697,0.29673785074620607,0.14743218715045833,0.633401378593588,0.298505659795161,146,30,63,1,0.6656356989459554
0.43234203339986027,0.3647849952173705,0.14416303092973373,0.016258507719479648,0.04245143273355578,-0.7482877888796265,0.2575720957003714,0.36623593150684286,34,0.4648066650723993,0.07749073737506264,3.1092561998361057,0.034218703827907974,0.46035454617761845,0.3264091800727289,0.8823921839696528,26,150,80,1,19,145,73,271,0.062404803318774224,0.024100149168375776,1.4796353164286329,1.6225674878326488,0.22287035010650116,0.4889786076903626,1.1742507709713543,1.2396380286521111,0.3147198865593737,0.1663888281311647,0.5879358011207266,0.36294038008023144,198,64,10,0,0.6699472561895264
0.028165692685009434,0.14440621131940126,0.6281498328460468,0.0176076870785506,0.18167057607099205,-0.6208091395833422,0.5135257527980263,0.40924159928077664,40,0.5077738538405868,0.08044187226696446,2.0975689338978425,0.029018993679568922,0.5040494186155233,0.31244555152346176,0.9000231821497805,41,185,151,46,10,205,94,314,0.05917185401524452,0.03131766471187944,1.895746792757394,1.5657930406632432,0.18750765388710017,0.44766580425183855,1.4887621599506837,1.211663657115691,0.3845673951592568,0.15953189435873977,0.6274536758614203,0.2973283741073509,253,113,63,0,0.7232041558534272
0.007440418503472617,0.07301467419993204,0.187458407814387,0.11612138993639626,0.6159651095458121,-1.3484294958159793,0.44677392372518726,0.35343753710536596,15,0.3347460336718219,0.030730326010233604,2.5240307640521555,0.038794747071334866,0.40274054715442353,0.05401411210533392,0.8587834885792253,76,334,121,6,42,165,25,308,0.05752371575703892,0.004805610877737077,1.8370787500354622,1.207360070444277,0.26569817617137514,0.4445481488070862,1.1727759713026178,1.0766267910110323,0.3960558371465992,0.19194904288539186,0.5428751579942198,0.34488179734445096,376,76,63,0,0.6552888352709773
0.03511882104548625,0.05344165776823622,0.2451940228633416,0.6174757690607571,0.04876972926217883,-1.4411614264070851,0.2877849006323927,0.34648988103927947,39,0.43789122608519687,0.06879314515168602,1.5584081908998015,0.0020255784073250076,0.571217835689058,0.3561977286684537,0.9689496252889868,40,233,131,47,18,242,52,228,0.0722251213190717,0.014613693856443143,1.3071540244894648,1.5751979552007942,0.1903706774731577,0.4725712263265909,1.4855199437458375,1.2746217828882362,0.3206444973035581,0.1140861759086993,0.6314733876452574,0.419259187249139,302,123,10,1,0.7027955748708958
0.50921359540664,0.028226143935458036,0.0441746293817,0.33281225940504433,0.08557337187115761,-1.1425180022357524,0.4766345918475544,0.37553980228977346,7,0.5360799980520744,0.033287241327746575,2.4743215875925326,0.007187158828962218,0.8624741827912712,0.22101679419801448,0.8931555820331775,68,275,84,3,27,185,63,241,0.022266162652365334,0.015652103996630945,2.166336852954516,1.5188251065993166,0.2880033296886769,0.5296722555672014,1.561778461654691,1.2399077948842248,0.32597084042930596,0.16285541416905178,0.5354898613859833,0.3439270067803992,158,81,10,0,0.5408486833933289
0.2006348411084407,0.0030427882984921002,0.15531615344921607,0.5287126493491908,0.11229356779466043,-1.099453384033099,0.46341083569178587,0.2907136888517238,33,0.12487270776278014,0.067393841184369,2.5609010722091963,0.038961922716267035,0.5495221207879091,0.32514035486534953,0.8523303607344498,124,156,166,31,5,134,40,143,0.028942469726653593,0.014989722923692118,1.6742738639161396,1.5637924893785216,0.28651143580330374,0.40410584094851904,1.1104939967871557,1.1734090743334984,0.24038840007230702,0.14617820396249334,0.5202750086436645,0.34198260269468383,278,26,63,1,0.6990914005081543
0.15576795171885752,0.38628463308815353,0.054380745126261565,0.11429792004939773,0.28926875001732966,-1.0137535597992051,0.28601908562787026,0.4723238038209933,38,0.5253992259733834,0.08572336210380735,3.3349360291682206,0.005762156075355153,0.30942872143515304,0.11950553031426413,0.903576262257907,100,346,151,3,21,202,75,162,0.02494224053775566,0.0271320087201311,1.0974573167615493,1.248648531587536,0.2666728528316863,0.47710569977817063,1.24317189379416,1.0883673023744393,0.3890593971608264,0.13297040667387067,0.46593015615639954,0.3195627664989711,318,70,10,0,0.6256645187923757
0.008565442338787543,0.5617089546306995,0.11918028662912297,0.04736119267982838,0.2631841237215616,-1.1609710822440924,0.35171755412056976,0.27605254847038896,34,0.2873005245835444,0.02201863519103087,1.9479338448419818,0.04092616483005203,0.46846588442653186,0.14481442074423517,0.9383041171709885,78,352,168,15,17,157,109,306,0.07545021828525729,0.024551756490243264,1.3579948133470356,1.1807353202383575,0.2709543223985918,0.48257084008746426,1.5377673546150934,1.233940024979134,0.31581899807435476,0.11599293667762256,0.6291896930438812,0.39128690068529043,314,82,10,1,0.6411283884487147
0.09509546907296482,0.06171354915279044,0.12093717737008293,0.32805516567116977,0.39419863873299194,-1.073782519420137,0.3489906605691448,0.4817080672627473,28,0.4641027637736121,0.027419352776346582,2.4022158335139197,0.023230740112974838,0.7853029181618834,0.35716355304575,0.869845699511532,62,316,141,25,28,133,37,209,0.058742453976819826,0.03846865658899111,1.3726225676823665,1.5249701025167042,0.21881420747932212,0.46776926547557174,1.3648447823686727,1.1537280532481635,0.2984741318422408,0.16047319635456975,0.5307286178246422,0.4225248157232045,336,32,21,1,0.5415477886194627
0.07938907398685903,0.06201704721788233,0.23305392777018358,0.15483962128621742,0.47070032973885767,-0.8457455628361757,0.5922078735503252,0.2910186458405675,22,0.5248767858603678,0.08179757787970479,2.6360243995293358,0.031898546080644796,0.7334617073897711,0.20693450157884927,0.9324821607507557,34,202,162,1,9,203,41,246,0.08338959128959882,0.010561504399641009,2.6359222821521744,1.9863273880403982,0.2877699430586432,0.5418132764503196,1.0954395855305568,1.049523959300592,0.2810951458634184,0.14337795098430386,0.4819261844743256,0.30411054894769,319,22,10,1,0.587153461813781
0.0964574539117727,0.09349131740245269,0.11502242300956318,0.4376432991607045,0.2573855065155069,-1.078711350431365,0.4141301034325711,0.27437294061973244,19,0.21578637987229665,0.0446847334108909,2.148904339650117,0.025875201138168973,0.49966200437075353,0.1644014055240565,0.9580669558000158,51,155,64,25,5,185,27,179,0.0643618036728031,0.029118528367970922,2.915377521033095,1.2180002045537326,0.290400019490549,0.37579808194374703,1.3113194355706685,1.204321066105819,0.383506583964092,0.12977333023669949,0.5506345809132828,0.2872945177935684,344,52,10,1,0.5530495218013108
